Network requests (100):
[0] GET http://127.0.0.1:8000/css/toastr.min.css type=Stylesheet
[1] GET http://127.0.0.1:8000/css/select2.min.css type=Stylesheet
[2] GET http://127.0.0.1:8000/css/st-tailwind.css type=Stylesheet
[3] GET http://127.0.0.1:8000/css/rm-groups.css type=Stylesheet
[4] GET http://127.0.0.1:8000/css/group-avatars.css type=Stylesheet
[5] GET http://127.0.0.1:8000/css/toggle-dependent.css type=Stylesheet
[6] GET http://127.0.0.1:8000/css/world-info.css type=Stylesheet
[7] GET http://127.0.0.1:8000/css/extensions-panel.css type=Stylesheet
[8] GET http://127.0.0.1:8000/css/select2-overrides.css type=Stylesheet
[9] GET http://127.0.0.1:8000/css/mobile-styles.css type=Stylesheet
[10] GET http://127.0.0.1:8000/css/macros.css type=Stylesheet
[11] GET http://127.0.0.1:8000/css/user.css type=Stylesheet
[12] GET http://127.0.0.1:8000/lib/polyfill.js type=XHR
[13] GET http://127.0.0.1:8000/lib/jquery-3.5.1.min.js type=XHR
[14] GET http://127.0.0.1:8000/lib/jquery-ui.min.js type=XHR
[15] GET http://127.0.0.1:8000/lib/jquery.transit.min.js type=XHR
[16] GET http://127.0.0.1:8000/lib/jquery-cookie-1.4.1.min.js type=XHR
[17] GET http://127.0.0.1:8000/lib/jquery.ui.touch-punch.min.js type=XHR
[18] GET http://127.0.0.1:8000/lib/cropper.min.js type=XHR
[19] GET http://127.0.0.1:8000/lib/jquery-cropper.min.js type=XHR
[20] GET http://127.0.0.1:8000/lib/toastr.min.js type=XHR
[21] GET http://127.0.0.1:8000/lib/select2.min.js type=XHR
[22] GET http://127.0.0.1:8000/lib/select2-search-placeholder.js type=XHR
[23] GET http://127.0.0.1:8000/lib/pagination.js type=XHR
[24] GET http://127.0.0.1:8000/lib/toolcool-color-picker.js type=XHR
[25] GET http://127.0.0.1:8000/lib/jquery.izoomify.js type=XHR
[26] GET http://127.0.0.1:8000/css/animations.css type=Stylesheet
[27] GET http://127.0.0.1:8000/css/popup.css type=Stylesheet
[28] GET http://127.0.0.1:8000/css/promptmanager.css type=Stylesheet
[29] GET http://127.0.0.1:8000/css/loader.css type=Stylesheet
[30] GET http://127.0.0.1:8000/css/character-group-overlay.css type=Stylesheet
[31] GET http://127.0.0.1:8000/css/file-form.css type=Stylesheet
[32] GET http://127.0.0.1:8000/css/logprobs.css type=Stylesheet
[33] GET http://127.0.0.1:8000/css/accounts.css type=Stylesheet
[34] GET http://127.0.0.1:8000/css/tags.css type=Stylesheet
[35] GET http://127.0.0.1:8000/css/scrollable-button.css type=Stylesheet
[36] GET http://127.0.0.1:8000/css/welcome.css type=Stylesheet
[37] GET http://127.0.0.1:8000/css/data-maid.css type=Stylesheet
[38] GET http://127.0.0.1:8000/css/secrets.css type=Stylesheet
[39] GET http://127.0.0.1:8000/css/backgrounds.css type=Stylesheet
[40] GET http://127.0.0.1:8000/css/chat-backups.css type=Stylesheet
[41] GET http://127.0.0.1:8000/css/streaming-display.css type=Stylesheet
[42] POST http://127.0.0.1:8000/api/chats/recent type=Fetch
[43] GET http://127.0.0.1:8000/webfonts/NotoSans/NotoSans-Regular.woff2 type=Font
[44] GET http://127.0.0.1:8000/webfonts/fa-solid-900.woff2 type=Font
[45] GET http://127.0.0.1:8000/lib/dialog-polyfill.css type=Stylesheet
[46] GET http://127.0.0.1:8000/css/popup-safari-fix.css type=Stylesheet
[47] GET http://127.0.0.1:8000/scripts/templates/welcomePanel.html type=XHR
[48] GET http://127.0.0.1:8000/img/logo.png type=Image
[49] GET http://127.0.0.1:8000/thumbnail?type=avatar&file=Hogwarts_World_Director.png type=Image
[50] GET http://127.0.0.1:8000/img/five.png type=Image
[51] POST http://127.0.0.1:8000/api/characters/chats type=Fetch
[52] POST http://127.0.0.1:8000/api/characters/chats type=Fetch
[53] GET http://127.0.0.1:8000/webfonts/NotoSans/NotoSans-Bold.woff2 type=Font
[54] GET http://127.0.0.1:8000/webfonts/NotoSans/NotoSans-Medium.woff2 type=Font
[55] GET http://127.0.0.1:8000/webfonts/NotoSans/NotoSans-ExtraBold.woff2 type=Font
[56] GET http://127.0.0.1:8000/webfonts/NotoSans/NotoSans-Bold.woff2 type=Font
[57] GET http://127.0.0.1:8000/webfonts/NotoSans/NotoSans-ExtraBold.woff2 type=Font
[58] POST http://127.0.0.1:8000/api/settings/save type=Fetch
[59] POST http://127.0.0.1:8000/api/chats/get type=Fetch
[60] GET http://127.0.0.1:8000/thumbnail?type=persona&file=user-default.png type=Image
[61] GET http://127.0.0.1:8000/thumbnail?type=avatar&file=Hogwarts_World_Director.png type=Image
[62] GET http://127.0.0.1:8000/webfonts/NotoSans/NotoSans-MediumItalic.woff2 type=Font
[63] GET http://127.0.0.1:8000/img/ai4.png type=Image
[64] GET http://127.0.0.1:8000/api/sprites/get?name=Scene type=Fetch
[65] POST http://127.0.0.1:8000/api/avatars/get type=Fetch
[66] GET http://127.0.0.1:8000/webfonts/NotoSans/NotoSans-MediumItalic.woff2 type=Font
[67] GET http://127.0.0.1:8000/scripts/extensions/expressions/list-item.html type=XHR
[68] POST http://127.0.0.1:8000/api/backends/chat-completions/status type=Fetch
[69] POST http://127.0.0.1:8000/api/secrets/rotate type=Fetch failed=net::ERR_ABORTED
[70] GET http://127.0.0.1:8000/img/No-Image-Placeholder.svg type=Image
[71] POST http://127.0.0.1:8000/api/secrets/read type=Fetch
[72] POST http://127.0.0.1:8000/api/quick-replies/save type=Fetch
[73] GET data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABgAAAAYCAYAAADgdz34AAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsMAAA7DAcdvqGQAAADsSURBVEhLY2AYBfQMgf///3P8+/evAIgvA/FsIF+BavYDDWMBGroaSMMBiE8VC7AZDrIFaMFnii3AZTjUgsUUWUDA8OdAH6iQbQEhw4HyGsPEcKBXBIC4ARhex4G4BsjmweU1soIFaGg/WtoFZRIZdEvIMhxkCCjXIVsATV6gFGACs4Rsw0EGgIIH3QJYJgHSARQZDrWAB+jawzgs+Q2UO49D7jnRSRGoEFRILcdmEMWGI0cm0JJ2QpYA1RDvcmzJEWhABhD/pqrL0S0CWuABKgnRki9lLseS7g2AlqwHWQSKH4oKLrILpRGhEQCw2LiRUIa4lwAAAABJRU5ErkJggg== type=Image
[74] POST http://127.0.0.1:8000/api/hogwarts-mud/knowledge/sync type=Fetch
[75] POST http://127.0.0.1:8000/api/chats/save type=Fetch
[76] POST http://127.0.0.1:8000/api/settings/save type=Fetch
[77] POST http://127.0.0.1:8000/api/tokenizers/openai/count?model=gpt-3.5-turbo type=XHR
[78] GET data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABgAAAAYCAYAAADgdz34AAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsMAAA7DAcdvqGQAAAHOSURBVEhLrZa/SgNBEMZzh0WKCClSCKaIYOED+AAKeQQLG8HWztLCImBrYadgIdY+gIKNYkBFSwu7CAoqCgkkoGBI/E28PdbLZmeDLgzZzcx83/zZ2SSXC1j9fr+I1Hq93g2yxH4iwM1vkoBWAdxCmpzTxfkN2RcyZNaHFIkSo10+8kgxkXIURV5HGxTmFuc75B2RfQkpxHG8aAgaAFa0tAHqYFfQ7Iwe2yhODk8+J4C7yAoRTWI3w/4klGRgR4lO7Rpn9+gvMyWp+uxFh8+H+ARlgN1nJuJuQAYvNkEnwGFck18Er4q3egEc/oO+mhLdKgRyhdNFiacC0rlOCbhNVz4H9FnAYgDBvU3QIioZlJFLJtsoHYRDfiZoUyIxqCtRpVlANq0EU4dApjrtgezPFad5S19Wgjkc0hNVnuF4HjVA6C7QrSIbylB+oZe3aHgBsqlNqKYH48jXyJKMuAbiyVJ8KzaB3eRc0pg9VwQ4niFryI68qiOi3AbjwdsfnAtk0bCjTLJKr6mrD9g8iq/S/B81hguOMlQTnVyG40wAcjnmgsCNESDrjme7wfftP4P7SP4N3CJZdvzoNyGq2c/HWOXJGsvVg+RA/k2MC/wN6I2YA2Pt8GkAAAAASUVORK5CYII= type=Image
[79] GET http://127.0.0.1:8000/img/times-circle.svg type=Image
[80] GET https://cdn.jsdelivr.net/npm/cytoscape@3.34.0/dist/cytoscape.min.js type=Script
[81] GET data:image/svg+xml;charset=utf-8,%0A%20%20%20%20%20%20%20%20%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20viewBox%3D%220%200%2096%2096%22%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Cdefs%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%3CradialGradient%20id%3D%22g%22%20cx%3D%2245%25%22%20cy%3D%2238%25%22%20r%3D%2270%25%22%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%3Cstop%20offset%3D%220%22%20stop-color%3D%22%23332b59%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%3Cstop%20offset%3D%221%22%20stop-color%3D%22%230a0b1d%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%3C%2FradialGradient%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3C%2Fdefs%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Ccircle%20cx%3D%2248%22%20cy%3D%2248%22%20r%3D%2246%22%20fill%3D%22url(%23g)%22%20stroke%3D%22%23f1d98d%22%20stroke-width%3D%222%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Cpath%20d%3D%22M48%208l3%208%208%203-8%203-3%208-3-8-8-3%208-3z%22%20fill%3D%22%23f1d98d%22%20opacity%3D%22.75%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Cpath%20d%3D%22M17%2055l2%205%205%202-5%202-2%205-2-5-5-2%205-2z%22%20fill%3D%22%23f1d98d%22%20opacity%3D%22.45%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Cpath%20d%3D%22M79%2051l2%205%205%202-5%202-2%205-2-5-5-2%205-2z%22%20fill%3D%22%23f1d98d%22%20opacity%3D%22.45%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Ctext%20x%3D%2248%22%20y%3D%2258%22%20fill%3D%22%23d9bd70%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2227%22%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20text-anchor%3D%22middle%22%3ETZ%3C%2Ftext%3E%0A%20%20%20%20%20%20%20%20%3C%2Fsvg%3E%0A%20%20%20%20 type=Image
[82] GET data:image/svg+xml;charset=utf-8,%0A%20%20%20%20%20%20%20%20%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20viewBox%3D%220%200%2096%2096%22%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Cdefs%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%3CradialGradient%20id%3D%22g%22%20cx%3D%2245%25%22%20cy%3D%2238%25%22%20r%3D%2270%25%22%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%3Cstop%20offset%3D%220%22%20stop-color%3D%22%23332b59%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%3Cstop%20offset%3D%221%22%20stop-color%3D%22%230a0b1d%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%3C%2FradialGradient%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3C%2Fdefs%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Ccircle%20cx%3D%2248%22%20cy%3D%2248%22%20r%3D%2246%22%20fill%3D%22url(%23g)%22%20stroke%3D%22%238f82b5%22%20stroke-width%3D%222%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Cpath%20d%3D%22M48%208l3%208%208%203-8%203-3%208-3-8-8-3%208-3z%22%20fill%3D%22%238f82b5%22%20opacity%3D%22.75%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Cpath%20d%3D%22M17%2055l2%205%205%202-5%202-2%205-2-5-5-2%205-2z%22%20fill%3D%22%238f82b5%22%20opacity%3D%22.45%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Cpath%20d%3D%22M79%2051l2%205%205%202-5%202-2%205-2-5-5-2%205-2z%22%20fill%3D%22%238f82b5%22%20opacity%3D%22.45%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Ctext%20x%3D%2248%22%20y%3D%2258%22%20fill%3D%22%23e8dfc2%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2227%22%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20text-anchor%3D%22middle%22%3E%E8%B5%AB%E6%95%8F%3C%2Ftext%3E%0A%20%20%20%20%20%20%20%20%3C%2Fsvg%3E%0A%20%20%20%20 type=Image
[83] GET data:image/svg+xml;charset=utf-8,%0A%20%20%20%20%20%20%20%20%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20viewBox%3D%220%200%2096%2096%22%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Cdefs%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%3CradialGradient%20id%3D%22g%22%20cx%3D%2245%25%22%20cy%3D%2238%25%22%20r%3D%2270%25%22%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%3Cstop%20offset%3D%220%22%20stop-color%3D%22%23332b59%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%3Cstop%20offset%3D%221%22%20stop-color%3D%22%230a0b1d%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%3C%2FradialGradient%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3C%2Fdefs%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Ccircle%20cx%3D%2248%22%20cy%3D%2248%22%20r%3D%2246%22%20fill%3D%22url(%23g)%22%20stroke%3D%22%238f82b5%22%20stroke-width%3D%222%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Cpath%20d%3D%22M48%208l3%208%208%203-8%203-3%208-3-8-8-3%208-3z%22%20fill%3D%22%238f82b5%22%20opacity%3D%22.75%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Cpath%20d%3D%22M17%2055l2%205%205%202-5%202-2%205-2-5-5-2%205-2z%22%20fill%3D%22%238f82b5%22%20opacity%3D%22.45%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Cpath%20d%3D%22M79%2051l2%205%205%202-5%202-2%205-2-5-5-2%205-2z%22%20fill%3D%22%238f82b5%22%20opacity%3D%22.45%22%2F%3E%0A%20%20%20%20%20%20%20%20%20%20%20%20%3Ctext%20x%3D%2248%22%20y%3D%2258%22%20fill%3D%22%23e8dfc2%22%20font-family%3D%22Georgia%2Cserif%22%20font-size%3D%2227%22%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20text-anchor%3D%22middle%22%3E%E5%93%88%E5%88%A9%3C%2Ftext%3E%0A%20%20%20%20%20%20%20%20%3C%2Fsvg%3E%0A%20%20%20%20 type=Image
